id,shiftDate,timeIn,timeOut,shiftType,largestTip,smallestTip,stiffed,bwl,sales,tipout,totalWalkedWith,tipPercent,ppa,comments,breakthroughs,isReal,createdAt,updatedAt,JobId,UserId
5051,2016-11-04,11:00:00,19:15:00,double,58,4,0,14,600,36,93.6,19,40,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5052,2016-11-03,11:00:00,19:15:00,double,36,5,0,6,639,51.12,89.46,22,42,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5053,2016-11-02,11:00:00,19:15:00,double,36,5,0,8,537,37.59,59.07,18,36,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5054,2016-10-30,11:00:00,19:15:00,double,56,9,0,12,1048,73.36,149.86,20,31,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5055,2016-10-29,11:00:00,19:15:00,double,60,15,0,11,1359,81.54,194.34,19,54,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5056,2016-10-28,11:00:00,19:15:00,double,23,13,0,7,1329,93.03,160.81,18,55,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5057,2016-10-27,11:00:00,19:15:00,double,25,14,0,11,618,49.44,88.37,21,37,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5058,2016-10-26,11:00:00,19:15:00,double,53,11,0,6,830,66.4,116.2,22,42,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5059,2016-10-23,11:00:00,19:15:00,double,40,13,0,13,1213,97.04,157.69,21,45,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5060,2016-10-22,11:00:00,19:15:00,double,37,9,0,14,1017,71.19,183.06,22,55,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5061,2016-10-21,11:00:00,19:15:00,double,27,9,0,15,751,45.06,90.12,16,50,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5062,2016-10-20,11:00:00,19:15:00,double,51,13,0,12,489,34.23,73.35,22,43,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5063,2016-10-19,11:00:00,19:15:00,double,26,8,0,10,902,72.16,140.71,21,42,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5064,2016-10-16,11:00:00,19:15:00,double,35,8,0,9,1057,84.56,93.02,16,48,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5065,2016-10-15,11:00:00,19:15:00,double,60,6,0,11,1493,119.44,213.5,21,41,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5066,2016-10-14,11:00:00,19:15:00,double,24,11,0,8,792,63.36,121.97,22,48,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5067,2016-10-13,11:00:00,19:15:00,double,42,8,0,11,447,31.29,59,19,46,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5068,2016-10-12,11:00:00,19:15:00,double,32,5,0,7,741,44.46,81.51,16,50,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5069,2016-10-09,11:00:00,19:15:00,double,49,6,0,6,572,40.04,89.23,20,42,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5070,2016-10-08,11:00:00,19:15:00,double,38,6,0,10,1205,72.3,216.9,21,41,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5071,2016-10-07,11:00:00,19:15:00,double,50,11,0,15,1089,65.34,156.82,18,54,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5072,2016-10-06,11:00:00,19:15:00,double,51,11,0,12,775,62,93.78,19,48,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5073,2016-10-05,11:00:00,19:15:00,double,29,15,0,8,706,56.48,91.78,21,42,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5074,2016-10-02,11:00:00,19:15:00,double,39,9,0,11,1236,86.52,176.75,20,33,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5075,2016-10-01,11:00:00,19:15:00,double,26,5,0,16,1548,92.88,154.8,16,40,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5076,2016-09-30,11:00:00,19:15:00,double,37,12,0,16,874,61.18,113.62,20,52,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5077,2016-09-29,11:00:00,19:15:00,double,34,11,0,7,573,45.84,68.76,18,46,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5078,2016-09-28,11:00:00,19:15:00,double,23,6,0,12,745,52.15,81.95,18,44,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5079,2016-09-25,11:00:00,19:15:00,double,20,14,0,7,1012,60.72,133.58,17,47,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5080,2016-09-24,11:00:00,19:15:00,double,60,13,0,9,1164,69.84,192.06,21,46,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5081,2016-09-23,11:00:00,19:15:00,double,57,13,0,15,777,62.16,85.47,18,50,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5082,2016-09-22,11:00:00,19:15:00,double,47,6,0,7,519,31.14,79.93,20,50,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5083,2016-09-21,11:00:00,19:15:00,double,20,13,0,10,752,60.16,67.68,17,49,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5084,2016-09-18,11:00:00,19:15:00,double,59,15,0,7,692,41.52,83.04,16,45,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5085,2016-09-17,11:00:00,19:15:00,double,38,6,0,18,786,55.02,141.48,22,57,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5086,2016-09-16,11:00:00,19:15:00,double,48,8,0,16,1240,74.4,223.2,21,50,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5087,2016-09-15,11:00:00,19:15:00,double,57,5,0,6,729,51.03,122.47,21,36,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5088,2016-09-14,11:00:00,19:15:00,double,44,14,0,12,998,59.88,131.74,18,49,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5089,2016-09-11,11:00:00,19:15:00,double,46,5,0,12,1245,99.6,134.46,17,43,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5090,2016-09-10,11:00:00,19:15:00,double,52,14,0,17,1459,87.54,192.59,17,45,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5091,2016-09-09,11:00:00,19:15:00,double,52,15,0,8,1341,80.46,206.51,20,49,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5092,2016-09-08,11:00:00,19:15:00,double,24,10,0,11,890,71.2,71.2,16,48,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5093,2016-09-07,11:00:00,19:15:00,double,33,9,0,9,517,31.02,67.21,19,46,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5094,2016-09-04,11:00:00,19:15:00,double,52,5,0,12,859,60.13,154.62,22,49,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5095,2016-09-03,11:00:00,19:15:00,double,41,6,1,18,1221,85.47,158.73,20,45,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5096,2016-09-02,11:00:00,19:15:00,double,30,6,0,10,776,54.32,93.9,18,41,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5097,2016-09-01,11:00:00,19:15:00,double,35,11,0,9,872,52.32,115.1,18,48,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5098,2016-08-31,11:00:00,19:15:00,double,53,12,0,9,460,32.2,64.4,21,45,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5099,2016-08-28,11:00:00,19:15:00,double,38,8,0,13,1218,97.44,175.39,20,48,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5100,2016-08-27,11:00:00,19:15:00,double,24,12,0,10,1513,105.91,149.79,16,48,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5101,2016-08-26,11:00:00,19:15:00,double,45,10,0,14,1369,82.14,225.89,21,42,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5102,2016-08-25,11:00:00,19:15:00,double,38,6,0,8,495,29.7,59.9,17,42,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5103,2016-08-24,11:00:00,19:15:00,double,50,9,0,11,794,55.58,79.4,17,46,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5104,2016-08-21,11:00:00,19:15:00,double,30,9,0,7,791,55.37,94.92,19,49,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5105,2016-08-20,11:00:00,19:15:00,double,37,8,0,13,809,56.63,115.69,20,43,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5106,2016-08-19,11:00:00,19:15:00,double,35,8,0,11,1349,80.94,163.23,17,45,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5107,2016-08-18,11:00:00,19:15:00,double,20,7,0,8,627,50.16,67.72,17,35,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5108,2016-08-17,11:00:00,19:15:00,double,29,15,0,6,915,54.9,137.25,21,48,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5109,2016-08-14,11:00:00,19:15:00,double,45,8,0,13,1076,64.56,142.03,18,31,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5110,2016-08-13,11:00:00,19:15:00,double,25,14,0,16,1048,83.84,83.84,16,53,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5111,2016-08-12,11:00:00,19:15:00,double,23,11,0,15,1134,79.38,176.9,20,50,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5112,2016-08-11,11:00:00,19:15:00,double,20,6,0,8,1038,83.04,114.18,18,48,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5113,2016-08-10,11:00:00,19:15:00,double,42,13,0,5,593,35.58,92.51,19,46,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5114,2016-08-07,11:00:00,19:15:00,double,36,4,0,8,885,61.95,136.29,21,51,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5115,2016-08-06,11:00:00,19:15:00,double,50,5,0,11,701,42.06,77.11,17,44,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5116,2016-08-05,11:00:00,19:15:00,double,21,4,0,13,1209,96.72,120.9,18,41,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5117,2016-08-04,11:00:00,19:15:00,double,41,6,0,6,927,74.16,112.17,19,50,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5118,2016-08-03,11:00:00,19:15:00,double,28,10,0,12,1050,73.5,147,21,38,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5119,2016-07-31,11:00:00,19:15:00,double,56,11,0,13,1000,60,143,19,40,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5120,2016-07-30,11:00:00,19:15:00,double,35,12,0,12,1275,76.5,168.3,18,53,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5121,2016-07-29,11:00:00,19:15:00,double,53,11,0,8,1157,69.42,178.18,20,45,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5122,2016-07-28,11:00:00,19:15:00,double,37,10,0,8,869,60.83,135.56,20,46,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5123,2016-07-27,11:00:00,19:15:00,double,54,12,0,7,661,46.27,79.32,19,41,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5124,2016-07-24,11:00:00,19:15:00,double,25,12,0,12,571,45.68,68.52,18,32,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5125,2016-07-23,11:00:00,19:15:00,double,35,10,0,13,1104,77.28,157.87,20,52,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5126,2016-07-22,11:00:00,19:15:00,double,43,11,0,11,831,66.48,99.72,18,47,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5127,2016-07-21,11:00:00,19:15:00,double,51,4,0,5,1092,87.36,132.13,19,36,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5128,2016-07-20,11:00:00,19:15:00,double,51,4,0,10,574,45.92,45.92,16,50,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5129,2016-07-17,11:00:00,19:15:00,double,27,6,0,6,989,69.23,154.28,20,38,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5130,2016-07-16,11:00:00,19:15:00,double,23,11,0,16,1424,99.68,172.3,18,59,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5131,2016-07-15,11:00:00,19:15:00,double,44,11,0,11,684,54.72,105.34,22,46,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5132,2016-07-14,11:00:00,19:15:00,double,34,12,0,5,533,31.98,76.22,19,49,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5133,2016-07-13,11:00:00,19:15:00,double,60,13,0,10,1043,73.01,125.16,19,48,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5134,2016-07-10,11:00:00,19:15:00,double,49,14,0,6,1052,84.16,100.99,16,52,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5135,2016-07-09,11:00:00,19:15:00,double,56,9,0,8,1588,127.04,142.92,17,47,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5136,2016-07-08,11:00:00,19:15:00,double,59,6,0,10,1279,76.74,168.83,18,42,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5137,2016-07-07,11:00:00,19:15:00,double,22,4,0,9,532,37.24,58.52,17,45,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5138,2016-07-06,11:00:00,19:15:00,double,34,4,0,12,697,41.82,104.55,21,50,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5139,2016-07-03,11:00:00,19:15:00,double,35,6,0,12,1154,69.24,203.1,22,40,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5140,2016-07-02,11:00:00,19:15:00,double,28,11,0,12,729,43.74,120.29,21,56,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5141,2016-07-01,11:00:00,19:15:00,double,21,11,0,10,778,54.46,70.02,16,41,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5142,2016-06-30,11:00:00,19:15:00,double,35,7,0,8,438,35.04,73.58,22,39,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5143,2016-06-29,11:00:00,19:15:00,double,39,6,0,12,544,43.52,71.81,19,44,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5144,2016-06-26,11:00:00,19:15:00,double,53,6,0,7,835,50.1,100.2,18,39,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5145,2016-06-25,11:00:00,19:15:00,double,36,8,0,10,1381,96.67,165.72,17,60,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5146,2016-06-24,11:00:00,19:15:00,double,46,13,0,7,810,48.6,116.64,18,45,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5147,2016-06-23,11:00:00,19:15:00,double,47,6,0,5,534,32.04,64.08,16,38,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5148,2016-06-22,11:00:00,19:15:00,double,60,7,0,9,712,42.72,102.53,18,40,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5149,2016-06-19,11:00:00,19:15:00,double,22,10,0,9,1156,80.92,178.02,21,51,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5150,2016-06-18,11:00:00,19:15:00,double,37,6,0,8,1509,90.54,226.35,21,60,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5151,2016-06-17,11:00:00,19:15:00,double,53,7,0,7,1351,94.57,226.97,21,40,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5152,2016-06-16,11:00:00,19:15:00,double,47,4,0,8,998,59.88,191.62,22,44,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5153,2016-06-15,11:00:00,19:15:00,double,43,5,0,11,780,54.6,112.32,19,43,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5154,2016-06-12,11:00:00,19:15:00,double,55,10,0,8,881,61.67,116.29,19,54,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5155,2016-06-11,11:00:00,19:15:00,double,43,4,0,8,1505,120.4,165.55,19,45,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5156,2016-06-10,11:00:00,19:15:00,double,51,6,0,11,945,75.6,113.4,20,40,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5157,2016-06-09,11:00:00,19:15:00,double,37,12,0,8,1002,80.16,143.29,21,35,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5158,2016-06-08,11:00:00,19:15:00,double,47,8,0,11,994,69.58,143.14,19,48,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5159,2016-06-05,11:00:00,19:15:00,double,53,14,0,7,1115,89.2,100.35,17,32,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5160,2016-06-04,11:00:00,19:15:00,double,27,10,0,8,1324,92.68,158.88,17,52,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5161,2016-06-03,11:00:00,19:15:00,double,27,5,0,10,968,58.08,154.88,22,50,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5162,2016-06-02,11:00:00,19:15:00,double,59,10,0,9,515,41.2,45.32,16,35,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5163,2016-06-01,11:00:00,19:15:00,double,20,14,0,6,577,46.16,83.09,20,43,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5164,2016-05-29,11:00:00,19:15:00,double,40,8,0,6,596,35.76,98.34,21,49,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5165,2016-05-28,11:00:00,19:15:00,double,35,4,0,9,967,77.36,106.37,18,60,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
5166,2016-05-27,11:00:00,19:15:00,double,34,7,0,7,1036,62.16,155.4,21,50,None,None,0,2017-02-26 18:57:00,2017-02-26 18:57:00,50,50
